State,Abbreviation,Poverty_Rate,Gun_Ownership
1,AL,16.3,55.5
2,AK,10.8,64.5
3,AZ,12.9,46.3
4,AR,16,57.2
5,CA,12.3,28.3
6,CO,9.7,45.1
7,CT,10.1,23.6
8,DE,11.5,34.4
9,FL,13.2,35.3
10,GA,14.2,49.2
11,HI,10.9,14.9
12,ID,10.8,60.1
13,IL,12.1,27.8
14,IN,12.1,44.8
15,IA,11,43.6
16,KS,11.6,48.9
17,KY,16.3,54.6
18,LA,19.5,53.1
19,ME,11.2,46.8
20,MD,10.3,30.2
21,MA,10.4,14.7
22,MI,13,40.2
23,MN,9.3,42.8
24,MS,19.2,55.8
25,MO,12.8,48.8
26,MT,12,66.3
27,NE,10.5,45.2
28,NV,14,47.3
29,NH,7.4,41.1
30,NJ,10.2,14.7
31,NM,17.7,46.2
32,NY,14,19.9
33,NC,13.5,45.8
34,ND,10.9,55.1
35,OH,13.3,40
36,OK,15.4,54.7
37,OR,12.2,50.8
38,PA,12,40.7
39,RI,12.1,14.8
40,SC,14.5,49.4
41,SD,11.9,55.3
42,TN,13.7,51.6
43,TX,14.2,45.7
44,UT,8.7,46.8
45,VT,10.2,50.5
46,VA,10.3,44.6
47,WA,9.9,42.1
48,WV,16.8,58.5
49,WI,10.8,45.3
50,WY,10.6,66.2
